"STATE","YEAR","OFFENSE","AW","AB"
"50",2006,11,9,2
"50",2006,40,274,91
"50",2006,11,1,2
"50",2006,40,50,11
"50",2006,11,1,0
"50",2006,40,18,3
"50",2006,40,10,0
"50",2006,11,0,0
"50",2006,40,5,0
"50",2006,40,1,0
"50",2006,40,1,0
"50",2006,11,1,0
"50",2006,40,1,0
"50",2006,40,0,1
"50",2006,40,14,0
"50",2006,40,1,0
"50",2006,40,22,0
"50",2006,40,0,0
"50",2006,40,20,2
"50",2006,40,3,0
"50",2006,40,28,0
"50",2006,40,5,0
"50",2006,40,2,0
"50",2006,40,2,0
"50",2006,11,0,0
"50",2006,40,7,1
"50",2006,40,0,0
"50",2006,40,3,0
"50",2006,40,8,1
"50",2006,11,0,0
"50",2006,40,1,0
"50",2006,40,3,0
"50",2006,40,0,0
"50",2006,11,1,0
"50",2006,11,4,0
"50",2006,40,141,5
"1",2006,11,3,2
"1",2006,40,31,23
"1",2006,11,0,10
"1",2006,40,9,50
"1",2006,11,3,63
"1",2006,40,37,536
"1",2006,11,1,0
"1",2006,40,1,0
"1",2006,11,0,1
"1",2006,40,0,12
"1",2006,40,3,10
"1",2006,11,1,3
"1",2006,40,6,5
"1",2006,40,5,0
"1",2006,40,2,3
"1",2006,40,2,0
"1",2006,11,0,2
"1",2006,40,0,6
"1",2006,40,6,6
"1",2006,40,5,4
"1",2006,40,1,0
"1",2006,11,2,0
"1",2006,40,21,4
"1",2006,11,3,16
"1",2006,40,31,116
"1",2006,11,1,3
"1",2006,40,2,23
"1",2006,40,5,1
"1",2006,40,4,1
"1",2006,11,0,5
"1",2006,40,20,30
"1",2006,11,1,0
"1",2006,40,10,7
"1",2006,11,1,0
"1",2006,40,6,7
"1",2006,40,20,0
"1",2006,40,1,0
"1",2006,40,1,0
"1",2006,40,0,2
"1",2006,40,2,0
"1",2006,11,1,0
"1",2006,40,3,0
"1",2006,40,0,10
"1",2006,40,0,3
"1",2006,40,10,8
"1",2006,40,0,1
"1",2006,40,0,2
"1",2006,40,1,1
"1",2006,40,2,0
"1",2006,40,2,0
"1",2006,40,0,10
"1",2006,40,5,4
"1",2006,40,0,1
"1",2006,11,3,8
"1",2006,40,25,60
"1",2006,11,2,0
"1",2006,40,7,4
"1",2006,11,0,2
"1",2006,40,0,1
"1",2006,11,3,0
"1",2006,40,1,18
"1",2006,11,0,2
"1",2006,40,0,18
"1",2006,11,0,2
"1",2006,40,6,19
"1",2006,40,3,1
"1",2006,40,0,1
"1",2006,11,3,0
"1",2006,40,10,0
"1",2006,40,2,0
"1",2006,40,3,5
"1",2006,40,1,1
"1",2006,40,1,0
"1",2006,40,0,1
"1",2006,40,1,0
"1",2006,40,2,7
"1",2006,11,0,2
"1",2006,40,5,6
"1",2006,11,3,0
"1",2006,40,3,3
"1",2006,40,3,2
"1",2006,11,0,1
"1",2006,40,6,3
"1",2006,40,0,1
"1",2006,11,1,0
"1",2006,40,5,7
"1",2006,40,1,0
"1",2006,40,2,0
"1",2006,11,5,0
"1",2006,40,13,1
"1",2006,40,6,0
"1",2006,40,0,3
"1",2006,11,1,1
"1",2006,40,7,18
"1",2006,40,0,4
"1",2006,40,4,4
"1",2006,40,5,7
"1",2006,11,0,5
"1",2006,40,5,58
"1",2006,40,3,0
"1",2006,11,5,5
"1",2006,40,29,22
"1",2006,40,8,12
"1",2006,11,0,1
"1",2006,40,4,13
"1",2006,40,0,1
"1",2006,40,4,2
