state,stateAbb,fips,weaponD,raceD,blackViolent,deathsB,populationB,deathsW,populationW,population2010,male,female,white,age,bachelors,income,con
Alabama,AL,1,0.35657433,0.30802,4.399329796,2472,12684866,1046,32340615,4779736,2320188,2459548,3204402,37.9,21.9,40474,0.609819426
Alaska,AK,2,0.354076953,0.31888,4.091880342,26,297673,127,4748269,710231,369628,340603,455320,33.8,27.9,64576,0.558536822
Arizona,AZ,3,0.38081666,0.33024,4.207939787,414,2740862,1078,37760263,6392017,3175823,3216194,3695647,35.9,25.9,46789,0.519871325
Arkansas,AR,5,0.357102901,0.31042,4.293095123,958,4601179,714,21993180,2915918,1431637,1484281,2173469,37.4,19.5,38307,0.599523143
California,CA,6,0.374338867,0.30497,4.308789177,5248,23792038,2852,155319352,37253956,18517830,18736126,14956253,35.2,30.1,57708,0.35395628
Colorado,CO,8,0.348714934,0.30206,4.198832499,263,2198818,557,36110818,5029196,2520662,2508534,3520793,36.1,36.4,54046,0.446944824
Connecticut,CT,9,0.402471795,0.35482,4.420369355,517,3602187,242,25654654,3574097,1739614,1834483,2546262,40,35.5,64032,0.399581135
Delaware,DE,10,0.370750824,0.3113,4.384615385,327,1962436,82,5984380,897934,434939,462995,586752,38.8,27.8,55847,0.395906826
District of Columbia,DC,11,0.355111758,0.24456,4.255051884,1012,3136780,17,2167655,601723,284222,317501,209464,33.8,50.1,60903,0.059661078
Florida,FL,12,0.386462716,0.33174,4.369931895,5068,29994815,2703,111643968,18801310,9189355,9611955,10884722,40.7,25.8,44409,0.487894128
Georgia,GA,13,0.346478554,0.26332,4.315263275,3821,30004058,1273,55063806,9687653,4729171,4958482,5413920,35.3,27.3,46430,0.522064255
Hawaii,HI,15,0.385039947,0.30514,4.245515695,3,339410,38,3641025,1360301,681243,679058,309343,38.6,29.5,63030,0.281530966
Idaho,ID,16,0.371387199,0.33024,4.135175879,2,133358,171,13363582,1567582,785324,782258,1316243,34.6,24.4,43490,0.617722532
Illinois,IL,17,0.386535664,0.32705,4.484215759,4921,18896496,839,82274871,12830632,6292276,6538356,8167753,36.6,30.8,52972,0.388132363
Indiana,IN,18,0.401351412,0.35197,4.400671517,1651,6246011,903,53402811,6483802,3189737,3294065,5286453,37,22.7,44613,0.532850955
Iowa,IA,19,0.399427205,0.35513,4.372249663,106,1043179,264,27249677,3046355,1508319,1538036,2701123,38.1,24.9,47961,0.475727826
Kansas,KS,20,0.374150607,0.34189,4.306704261,348,1844477,341,22610030,2853118,1415408,1437710,2230539,36,29.8,48257,0.574389718
Kentucky,KY,21,0.368345047,0.33883,4.290401567,554,3586393,1011,37835535,4339367,2134952,2204415,3745655,38.1,20.5,40062,0.604078084
Louisiana,LA,22,0.34792384,0.2967,4.353583121,3776,14623839,920,27618229,4533372,2219292,2314080,2734884,35.8,21.4,42505,0.581453272
Maine,ME,23,0.388199612,0.35626,4.172156619,8,190627,158,12664228,1328361,650056,678305,1254297,42.7,26.8,45815,0.42119481
Maryland,MD,24,0.350971151,0.26219,4.33530519,3262,17360000,425,32230421,5773552,2791762,2981790,3157958,38,36.1,68854,0.356449041
Massachusetts,MA,25,0.39015144,0.34012,4.344339213,620,4511831,368,50900624,6547629,3166628,3381001,4984800,39.1,39,62072,0.356410928
Michigan,MI,26,0.385230239,0.32233,4.445769577,4182,14542991,1008,76864334,9883640,4848114,5035526,7569939,38.9,25.2,45413,0.443889312
Minnesota,MN,27,0.389894563,0.34071,4.328914484,342,3051118,313,44723899,5303925,2632132,2671793,4405142,37.4,31.8,55459,0.448044907
Mississippi,MS,28,0.335197755,0.23968,4.282588011,1906,11070340,640,17328141,2967297,1441240,1526057,1722287,36,19.5,36851,0.564676913
Missouri,MO,29,0.382427708,0.32946,4.370591002,2417,7219744,1042,48989541,5988927,2933477,3055450,4850748,37.9,25.6,44301,0.533207211
Montana,MT,30,0.357833741,0.3291,4.026421137,3,71343,151,8831733,989415,496667,492748,868628,39.8,28.8,42666,0.537878154
Nebraska,NE,31,0.376013164,0.35698,4.338748985,239,919219,183,15184863,1826341,906296,920045,1499753,36.2,28.6,48408,0.589009989
Nevada,NV,32,0.366298678,0.31978,4.294342022,378,2342992,470,15027194,2700551,1363616,1336935,1462081,36.3,21.7,51001,0.45188987
New Hampshire,NH,33,0.384472298,0.37557,4.261752757,0,178196,118,12272830,1316470,649394,667076,1215050,41.1,32.8,61042,0.461756526
New Jersey,NJ,34,0.388901442,0.34347,4.469027778,2242,11767530,370,52668832,8791894,4279600,4512294,5214878,39,35.4,67681,0.412259618
New Mexico,NM,35,0.360697388,0.2879,4.108095007,60,429017,241,8415004,2059179,1017421,1041758,833810,36.7,25,42090,0.415549518
New York,NY,36,0.385460823,0.31456,4.385561895,3735,29374816,981,114415041,19378102,9377147,10000955,11304247,38,32.5,54148,0.336273194
North Carolina,NC,37,0.373537506,0.30173,4.338260262,2708,20922579,1490,63151799,9535483,4645492,4889991,6223995,37.4,26.5,43326,0.501294089
North Dakota,ND,38,0.37947339,0.3571,4.301829268,3,118741,54,6153233,672591,339864,332727,598007,37,27.6,48670,0.581738036
Ohio,OH,39,0.390582908,0.33655,4.415801575,3157,14785966,1488,94549417,11536504,5632156,5904348,9359263,38.8,24.6,45090,0.487713267
Oklahoma,OK,40,0.386567533,0.32405,4.286573146,683,3085131,845,26867463,3751351,1856977,1894374,2575381,36.2,22.9,42072,0.659134219
Oregon,OR,41,0.358996764,0.29485,4.059621404,81,842380,501,30837361,3831074,1896002,1935072,3005848,38.4,28.8,46560,0.41244617
Pennsylvania,PA,42,0.385992941,0.34062,4.423163767,3813,13989665,1318,101605519,12702379,6190363,6512016,10094652,40.1,27.1,49288,0.465054207
Rhode Island,RI,44,0.391617507,0.35558,4.316920322,52,643069,60,8171352,1052567,508400,544167,803685,39.4,30.2,52254,0.363998552
South Carolina,SC,45,0.362291083,0.29835,4.365181148,1925,13112140,909,30141462,4625364,2250101,2375263,2962740,37.9,24.5,42018,0.54458036
South Dakota,SD,46,0.388537944,0.35444,4.323348018,6,141871,62,7001852,814180,407381,406799,689502,36.9,26.3,45904,0.575263462
